module,check,Always Required,Required for Check,Optional
scv,ss_exp_cs,"process_output, code_type","num_codes, num_mappings",vocab_tbl
scv,ss_exp_la,"process_output, code_type",num_mappings,vocab_tbl
scv,ms_exp_cs,"process_output, code_type",filter_concept,vocab_tbl
scv,ms_exp_la,"process_output, code_type","filter_concept, num_mappings",vocab_tbl
scv,ss_anom_cs,"process_output, code_type","filter_concept*, num_mappings, num_codes (*jaccard_index = TRUE only)",vocab_tbl
scv,ss_anom_la,"process_output, code_type",filter_concept,vocab_tbl
scv,ms_anom_cs,"process_output, code_type","filter_concept, num_mappings",vocab_tbl
scv,ms_anom_la,"process_output, code_type","filter_concept, filter_mapped",vocab_tbl
pf,ss_exp_cs,process_output,output,
pf,ss_exp_la,process_output,date_breaks_str,
pf,ms_exp_cs,process_output,output,
pf,ms_exp_la,process_output,output,
pf,ss_anom_cs,process_output,output,
pf,ss_anom_la,process_output,"output, domain_filter, visit_filter",
pf,ms_anom_cs,process_output,visit_filter,
pf,ms_anom_la,process_output,"domain_filter, visit_filter",
ca,ss_exp_cs,"process_output, var_col",,log_scale
ca,ms_exp_cs,"process_output, var_col",,log_scale
ca,ms_anom_cs,"process_output, var_col",,
ssc,ss_exp_cs,process_output,alt_cohort_filter,
ssc,ss_anom_cs,process_output,,
ssc,ms_exp_cs,process_output,alt_cohort_filter,
ssc,ms_anom_cs,process_output,,
prc,ss_exp_cs,process_output,,
prc,ss_exp_la,process_output,,
prc,ms_exp_cs,process_output,,
prc,ms_exp_la,process_output,dist_from_stat,
prc,ss_anom_cs,process_output,,
prc,ss_anom_la,process_output,event_filter,
prc,ms_anom_cs,process_output,,
prc,ms_anom_la,process_output,event_filter,
pes,ss_exp_cs,process_output,,
pes,ss_exp_la,process_output,,
pes,ms_exp_cs,process_output,,
pes,ms_exp_la,process_output,,
pes,ss_anom_la,process_output,,
pes,ms_anom_cs,process_output,,
pes,ms_anom_la,process_output,,
evp,ss_exp_cs,process_output,output_level,
evp,ss_exp_la,process_output,output_level,
evp,ms_exp_cs,process_output,output_level,
evp,ms_exp_la,process_output,"output_level, filter_variable",
evp,ss_anom_cs,process_output,,
evp,ss_anom_la,process_output,"output_level, filter_variable",
evp,ms_anom_cs,process_output,output_level,
evp,ms_anom_la,process_output,"output_level, filter_variable",
csd,ss_exp_cs,process_output,"num_variables, num_mappings","concept_set, vocab_tbl"
csd,ss_exp_la,process_output,"filter_variable, num_mappings, output_value","concept_set, vocab_tbl"
csd,ms_exp_cs,process_output,num_variables,"concept_set, vocab_tbl"
csd,ms_exp_la,process_output,"filter_variable, filter_concept, output_value","concept_set, vocab_tbl"
csd,ss_anom_cs,process_output,filter_variable,"concept_set, vocab_tbl"
csd,ss_anom_la,process_output,"filter_variable, filter_concept","concept_set, vocab_tbl"
csd,ms_anom_cs,process_output,"filter_variable, output_value","concept_set, vocab_tbl, text_wrapping_char"
csd,ms_anom_la,process_output,filter_concept,"concept_set, vocab_tbl"
cnc_sp,ss_exp_cs,"cnc_sp_process_output, cnc_sp_process_names",top_n,"facet_vars, specialty_filter"
cnc_sp,ss_exp_la,"cnc_sp_process_output, cnc_sp_process_names",,"facet_vars, specialty_filter"
cnc_sp,ms_exp_cs,"cnc_sp_process_output, cnc_sp_process_names",top_n,"facet_vars, specialty_filter"
cnc_sp,ms_exp_la,"cnc_sp_process_output, cnc_sp_process_names",top_n,"facet_vars, specialty_filter"
cnc_sp,ss_anom_cs,"cnc_sp_process_output, cnc_sp_process_names",p_value,"facet_vars, specialty_filter"
cnc_sp,ss_anom_la,"cnc_sp_process_output, cnc_sp_process_names","top_n, specialty_filter",facet_vars
cnc_sp,ms_anom_cs,"cnc_sp_process_output, cnc_sp_process_names",p_value,"facet_vars, specialty_filter"
cnc_sp,ms_anom_la,"cnc_sp_process_output, cnc_sp_process_names",specialty_filter,facet_vars
qvd,ss_exp_cs,process_output,,"display_outliers, frequency_min, value_type_filter"
qvd,ss_exp_la,process_output,summary_stat,value_type_filter
qvd,ms_exp_cs,process_output,,"display_outliers, frequency_min, value_type_filter"
qvd,ms_exp_la,process_output,summary_stat,value_type_filter
qvd,ss_anom_cs,process_output,,
qvd,ss_anom_la,process_output,,value_type_filter
qvd,ms_anom_cs,process_output,,value_type_filter
qvd,ms_anom_la,process_output,value_type_filter,
